# packages in environment at C:\ProgramData\Anaconda3\envs\financial:
#
# Name                    Version                   Build  Channel
tokenizers                0.19.1                   pypi_0    pypi
toml                      0.10.2             pyhd8ed1ab_0    conda-forge
torch                     2.3.1                    pypi_0    pypi
tornado                   6.4.1           py311he736701_1    conda-forge
tqdm                      4.66.5             pyhd8ed1ab_0    conda-forge
traitlets                 5.14.3             pyhd8ed1ab_0    conda-forge
transformers              4.42.4                   pypi_0    pypi
trio                      0.26.2                   pypi_0    pypi
trio-websocket            0.11.1                   pypi_0    pypi
truststore                0.9.2              pyhd8ed1ab_0    conda-forge
typer                     0.12.5                   pypi_0    pypi
types-requests            2.32.0.20240914          pypi_0    pypi
typing-extensions         4.12.2               hd8ed1ab_0    conda-forge
typing-inspect            0.9.0                    pypi_0    pypi
typing_extensions         4.12.2             pyha770c72_0    conda-forge
tzdata                    2024a                h8827d51_1    conda-forge
tzlocal                   5.2             py311h1ea47a8_1    conda-forge
ucrt                      10.0.22621.0         h57928b3_0    conda-forge
unstructured              0.14.10                  pypi_0    pypi
unstructured-client       0.25.9                   pypi_0    pypi
update-checker            0.18.0                   pypi_0    pypi
urllib3                   2.2.3              pyhd8ed1ab_0    conda-forge
uvicorn                   0.30.6                   pypi_0    pypi
validators                0.34.0             pyhd8ed1ab_0    conda-forge
vc                        14.3                h8a93ad2_21    conda-forge
vc14_runtime              14.40.33810         ha82c5b3_21    conda-forge
vs2015_runtime            14.40.33810         h3bf8584_21    conda-forge
watchdog                  4.0.1           py311h1ea47a8_0    conda-forge
watchfiles                0.24.0                   pypi_0    pypi
wcwidth                   0.2.13             pyhd8ed1ab_0    conda-forge
weasyprint                62.3               pyhd8ed1ab_0    conda-forge
webencodings              0.5.1              pyhd8ed1ab_2    conda-forge
websocket-client          1.8.0                    pypi_0    pypi
websockets                13.1                     pypi_0    pypi
wheel                     0.44.0             pyhd8ed1ab_0    conda-forge
widgetsnbextension        4.0.13             pyhd8ed1ab_0    conda-forge
win_inet_pton             1.1.0              pyhd8ed1ab_6    conda-forge
wrapt                     1.16.0                   pypi_0    pypi
wsproto                   1.2.0                    pypi_0    pypi
xorg-kbproto              1.0.7             hcd874cb_1002    conda-forge
xorg-libx11               1.8.9                h0076a8d_1    conda-forge
xorg-libxau               1.0.11               hcd874cb_0    conda-forge
xorg-libxdmcp             1.1.3                hcd874cb_0    conda-forge
xorg-xextproto            7.3.0             hcd874cb_1003    conda-forge
xorg-xproto               7.0.31            hcd874cb_1007    conda-forge
xz                        5.2.6                h8d14728_0    conda-forge
yaml                      0.2.5                h8ffe710_2    conda-forge
yaml-cpp                  0.8.0                h63175ca_0    conda-forge
yarg                      0.1.9                    pypi_0    pypi
yarl                      1.12.1                   pypi_0    pypi
yfinance                  0.2.41                   pypi_0    pypi
zeromq                    4.3.5                he1f189c_5    conda-forge
zipp                      3.20.2             pyhd8ed1ab_0    conda-forge
zlib                      1.3.1                h2466b09_1    conda-forge
zstandard                 0.23.0          py311h53056dc_1    conda-forge
zstd                      1.5.6                h0ea2cb4_0    conda-forge
